Region;Comuna;Codigo_comuna;Fec;Fecha;Clave;Casos_Diarios;Casos_Acumulados;Muertes;Casos_Activos;Recuperados;Recuperados_Diarios;Dia;Fallecidos_Diarios;on-off;Max_Dia
Valparaiso;Petorca;5404;1;43893;540443893;0;0;0;0;0;0;0;0;OFF;42
O_Higgins;Peumo;6112;1;43893;611243893;0;0;0;0;0;0;0;0;OFF;36
Tarapaca;Pica;1405;1;43893;140543893;0;0;0;0;0;0;0;0;OFF;36
O_Higgins;Pichidegua;6113;1;43893;611343893;0;0;0;0;0;0;0;0;OFF;2
O_Higgins;Pichilemu;6201;1;43893;620143893;0;0;0;0;0;0;0;0;OFF;0
Nuble;Pinto;16106;1;43893;1610643893;0;0;0;0;0;0;0;0;OFF;38
Metropolitana;Pirque;13202;1;43893;1320243893;0;0;0;0;0;0;0;0;OFF;43
La_Araucania;Pitrufquen;9114;1;43893;911443893;0;0;0;0;0;0;0;0;OFF;48
O_Higgins;Placilla;6308;1;43893;630843893;0;0;0;0;0;0;0;0;OFF;51
Nuble;Portezuelo;16205;1;43893;1620543893;0;0;0;0;0;0;0;0;OFF;0
Magallanes;Porvenir;12301;1;43893;1230143893;0;0;0;0;0;0;0;0;OFF;39
Tarapaca;Pozo_Almonte;1401;1;43893;140143893;0;0;0;0;0;0;0;0;OFF;35
Magallanes;Primavera;12302;1;43893;1230243893;0;0;0;0;0;0;0;0;OFF;24
Metropolitana;Providencia;13123;1;43893;1312343893;0;0;0;0;0;0;0;0;OFF;66
Valparaiso;Puchuncavi;5105;1;43893;510543893;0;0;0;0;0;0;0;0;OFF;11
La_Araucania;Pucon;9115;1;43893;911543893;0;0;0;0;0;0;0;0;OFF;48
Metropolitana;Pudahuel;13124;1;43893;1312443893;0;0;0;0;0;0;0;0;OFF;47
Metropolitana;Puente_Alto;13201;1;43893;1320143893;0;0;0;0;0;0;0;0;OFF;51
Los_Lagos;Puerto_Montt;10101;1;43893;1010143893;0;0;0;0;0;0;0;0;OFF;64
Los_Lagos;Puerto_Octay;10302;1;43893;1030243893;0;0;0;0;0;0;0;0;OFF;42
Los_Lagos;Puerto_Varas;10109;1;43893;1010943893;0;0;0;0;0;0;0;0;OFF;53
O_Higgins;Pumanque;6309;1;43893;630943893;0;0;0;0;0;0;0;0;OFF;0
